Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Donkey Kong Country: Tropical FreezeRead the review,Nintendo,Retro Studios,4620000,2018-05-04,2020-08-02,2018.0
ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,4500000,2015-06-02,2018-09-22,2015.0
Mario Tennis AcesRead the review,Nintendo,Camelot Software Planning,4500000,2018-06-22,2018-06-14,2018.0
Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,4470000,2016-10-25,2018-03-03,2016.0
Death StrandingRead the review,Sony Interactive Entertainment,Kojima Productions,4390000,2019-11-08,2021-07-26,2019.0
Kirby Star AlliesRead the review,Nintendo,HAL Laboratory,4380000,2018-03-16,2018-03-14,2018.0
Dragon Ball FighterZRead the review,Namco Bandai Games,Arc System Works,4310000,2018-01-26,2018-04-02,2018.0
Monster Hunter Generations,Capcom,Capcom,4300000,2016-07-15,2018-01-30,2016.0
Naruto Shippuden: Ultimate Ninja Storm 4,Namco Bandai Games,CyberConnect2,4300000,2016-02-09,2018-09-22,2016.0
Monster Hunter 4 Ultimate,Capcom,Capcom,4200000,2015-02-13,2018-03-28,2015.0
The Legend of Zelda: Skyward Sword HDRead the review,Nintendo,Nintendo,4150000,2021-07-16,2021-02-18,2021.0
Fire Emblem: Three HousesRead the review,Nintendo,Intelligent Systems,4120000,2019-07-26,2019-06-11,2019.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,4120000,2018-09-14,2020-10-26,2018.0
Until Dawn,Sony Computer Entertainment,Supermassive Games Ltd.,4040000,2015-08-25,2018-09-14,2015.0
Super Mario Maker,Nintendo,Nintendo EAD,4019999,2015-09-11,2018-03-29,2015.0
Control,505 Games,Remedy Entertainment,4000000,2019-08-27,2020-12-09,2019.0
Far Cry Primal,Ubisoft,Ubisoft Montreal,4000000,2016-02-23,2020-10-28,2016.0
Hyrule Warriors: Age of CalamityRead the review,Nintendo,Koei Tecmo Games,4000000,2020-11-20,2020-09-12,2020.0
Lego Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,4000000,2015-06-12,2020-10-22,2015.0
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",Konami,Konami,4000000,2020-11-19,2020-11-24,2020.0
Monster Hunter: World,Capcom,Capcom,4000000,2018-01-26,2018-01-30,2018.0
Octopath Traveler,Square Enix,Square Enix,4000000,2018-07-13,2023-06-07,2018.0
Persona 5 Royal,Sega,Atlus,4000000,2020-03-31,2022-12-01,2020.0
Remnant,Perfect World Entertainment,Gunfire Games,4000000,2019-08-20,2023-08-02,2019.0
V Rising,Stunlock Studios,Stunlock Studios,4000000,2022-05-17,2022-05-24,2022.0
Dark Souls III,Namco Bandai Games,From Software,3910000,2016-04-12,2018-04-23,2016.0
Capcom Arcade Stadium,Capcom,Capcom,3900000,2021-02-17,2023-11-08,2021.0
